file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
adapter-removed/C46.trimmed_1.fastq	FASTQ	DNA	141509	31834930	0	225.0	225
adapter-removed/C46.trimmed_2.fastq	FASTQ	DNA	141509	31692043	2	224.0	224
adapter-removed/C47.trimmed_1.fastq	FASTQ	DNA	141902	31923846	4	225.0	225
adapter-removed/C47.trimmed_2.fastq	FASTQ	DNA	141902	31779323	4	224.0	224
adapter-removed/C48.trimmed_1.fastq	FASTQ	DNA	102277	23008888	1	225.0	225
adapter-removed/C48.trimmed_2.fastq	FASTQ	DNA	102277	22906135	6	224.0	224
adapter-removed/C49.trimmed_1.fastq	FASTQ	DNA	139299	31337500	4	225.0	225
adapter-removed/C49.trimmed_2.fastq	FASTQ	DNA	139299	31197797	3	224.0	224
adapter-removed/C4.trimmed_1.fastq	FASTQ	DNA	92338	20774256	57	225.0	225
adapter-removed/C4.trimmed_2.fastq	FASTQ	DNA	92338	20678285	41	223.9	224
adapter-removed/C50.trimmed_1.fastq	FASTQ	DNA	119026	26776183	4	225.0	225
adapter-removed/C50.trimmed_2.fastq	FASTQ	DNA	119026	26656106	4	224.0	224
adapter-removed/C51.trimmed_1.fastq	FASTQ	DNA	148551	33420194	6	225.0	225
adapter-removed/C51.trimmed_2.fastq	FASTQ	DNA	148551	33269896	3	224.0	224
adapter-removed/C52.trimmed_1.fastq	FASTQ	DNA	122841	27635810	5	225.0	225
adapter-removed/C52.trimmed_2.fastq	FASTQ	DNA	122841	27504071	2	223.9	224
adapter-removed/C53.trimmed_1.fastq	FASTQ	DNA	124185	27938345	5	225.0	225
adapter-removed/C53.trimmed_2.fastq	FASTQ	DNA	124185	27809571	2	223.9	224
adapter-removed/C54.trimmed_1.fastq	FASTQ	DNA	124783	28071373	8	225.0	225
adapter-removed/C54.trimmed_2.fastq	FASTQ	DNA	124783	27946268	41	224.0	224
adapter-removed/C55.trimmed_1.fastq	FASTQ	DNA	145290	32686974	2	225.0	225
adapter-removed/C55.trimmed_2.fastq	FASTQ	DNA	145290	32538419	4	224.0	224
adapter-removed/C56.trimmed_1.fastq	FASTQ	DNA	137113	30846469	6	225.0	225
adapter-removed/C56.trimmed_2.fastq	FASTQ	DNA	137113	30707240	2	224.0	224
adapter-removed/C57.trimmed_1.fastq	FASTQ	DNA	112955	25411745	7	225.0	225
adapter-removed/C57.trimmed_2.fastq	FASTQ	DNA	112955	25297285	7	224.0	224
adapter-removed/C58.trimmed_1.fastq	FASTQ	DNA	141555	31845797	2	225.0	225
adapter-removed/C58.trimmed_2.fastq	FASTQ	DNA	141555	31704679	2	224.0	224
adapter-removed/C59.trimmed_1.fastq	FASTQ	DNA	145190	32663966	2	225.0	225
adapter-removed/C59.trimmed_2.fastq	FASTQ	DNA	145190	32517315	34	224.0	224
adapter-removed/C5.trimmed_1.fastq	FASTQ	DNA	141564	31849131	8	225.0	225
adapter-removed/C5.trimmed_2.fastq	FASTQ	DNA	141564	31706544	7	224.0	224
adapter-removed/C60.trimmed_1.fastq	FASTQ	DNA	119811	26955629	70	225.0	225
adapter-removed/C60.trimmed_2.fastq	FASTQ	DNA	119811	26832043	36	224.0	224
adapter-removed/C61.trimmed_1.fastq	FASTQ	DNA	149967	33739078	8	225.0	225
adapter-removed/C61.trimmed_2.fastq	FASTQ	DNA	149967	33586447	3	224.0	224
adapter-removed/C62.trimmed_1.fastq	FASTQ	DNA	144401	32486685	8	225.0	225
adapter-removed/C62.trimmed_2.fastq	FASTQ	DNA	144401	32341686	3	224.0	224
adapter-removed/C63.trimmed_1.fastq	FASTQ	DNA	126652	28493515	6	225.0	225
adapter-removed/C63.trimmed_2.fastq	FASTQ	DNA	126652	28367003	28	224.0	224
adapter-removed/C64.trimmed_1.fastq	FASTQ	DNA	131127	29500337	27	225.0	225
adapter-removed/C64.trimmed_2.fastq	FASTQ	DNA	131127	29369833	41	224.0	224
adapter-removed/C65.trimmed_1.fastq	FASTQ	DNA	115409	25964045	63	225.0	225
adapter-removed/C65.trimmed_2.fastq	FASTQ	DNA	115409	25844729	2	223.9	224
adapter-removed/C66.trimmed_1.fastq	FASTQ	DNA	129290	29087491	46	225.0	225
adapter-removed/C66.trimmed_2.fastq	FASTQ	DNA	129290	28958245	20	224.0	224
adapter-removed/C67.trimmed_1.fastq	FASTQ	DNA	115819	26057017	89	225.0	225
adapter-removed/C67.trimmed_2.fastq	FASTQ	DNA	115819	25941037	22	224.0	224
adapter-removed/C68.trimmed_1.fastq	FASTQ	DNA	124444	27997452	69	225.0	225
